guid,noteid,Title,OccludedImage,Clinical,Comment,Origin,Insertion,Attachments,Innervation,Actions,Plate,1a,2a,3a,4a,5a,6a,7a,8a,9a,10a,11a,12a,13a,14a,15a,16a,17a,18a,19a,20a,tags
/~O7aRBbUg,1349477488464,"Intrinsische Muskeln der Hand 1","<img src=""MSA-Intrinsic_Muscles_of_Hand_145.jpg"">","<b>Clinical:</b> This muscle is tested clinically by having the patient abduct their thumb against resistance. Abduction of the thumb involves moving it at right angles to the palm toward the elbow in the supinated position. Look for the bulging of the muscle belly in the thenar eminence.<br>","<b>Comment:</b>  This muscle is 1 of the 4 muscles that make up the thenar muscles at the base of the thumb.  Except for the adductor pollicis muscle, the thenar muscles are innervated by the recurrent branch of the median nerve.<br>","<b>Ursprung (proximal):</b>&nbsp;<div>Os scaphoideum&nbsp;<div>Retinaculum flexorum<br></div></div>","<b>Ansatz (distal):</b>&nbsp;Phalanx&nbsp;proximalis I&nbsp;(über radiales&nbsp;Sesambein)<br>",,"<b>Innervation:</b>  Nervus medianus<br>","<b>Funktion:</b>&nbsp;<div>Daumensattelgelenk: Abduktion</div><div>Daumengrundgelenk:&nbsp;Flexion</div>","Atlas Plate 453","<div>Musculus&nbsp;abductor pollicis brevis</div>",,,,,,,,,,,,,,,,,,,,"DopeRanatomy::#DOPE DopeRanatomy::Region::Upper_Limb::Hand/Wrist/Forearm DopeRanatomy::System::Musculoskeletal::Muscular::Upper_Limb::Hand/Wrist/Forearm Dufte::Obere_Extremitäten::Unterarm_Hand::Muskulatur"
)3giNfIXuc,1349477488465,"Intrinsische Muskeln der Hand 2","<img src=""MSA-Intrinsic_Muscles_of_Hand_246.jpg"">","<b>Clinical:</b> The recurrent branch of the median nerve lies somewhat superficial in the palm before diving into the belly of the flexor pollicis brevis muscle. Lacerations across the palm and thenar eminence may severe this important branch, as it innervates three of the four thenar muscles. Therefore, one must carefully test the integrity of these muscles in hand lacerations.<br>","<b>Comment:</b>  This muscle is 1 of the 4 muscles that make up the thenar muscles at the base of the thumb.  Except for the adductor pollicis muscle, the thenar muscles are innervated by the recurrent branch of the median nerve.<div><br></div><div><img src=""big_5b0517c8c7e2c.jpg""><br></div>","<b>Ursprung (proximal):</b>&nbsp;<div><ul><li>Caput superficiale<br></li><ul><li>Retinaculum flexorum</li></ul><li>Caput profundum<br></li><ul><li>Os trapezium</li><li>Os capitatum</li></ul></ul></div>","<b>Ansatz (distal):</b>  Phalanx&nbsp;proximalis I&nbsp;(über radiales&nbsp;Sesambein) <br>",,"<b>Innervation:</b>  N. medianus&nbsp;und&nbsp;N. ulnaris&nbsp;<br>",<b>Action:</b>&nbsp;<div><ul><li>Daumensattelgelenk<br></li><ul><li>Flexion</li><li>Opposition</li></ul><li>Daumengrundgelenk<br></li><ul><li>Flexion&nbsp;</li></ul></ul></div>,"Atlas Plate 453","<div>Musculus&nbsp;flexor pollicis brevis</div>",,,,,,,,,,,,,,,,,,,,"DopeRanatomy::#DOPE DopeRanatomy::Region::Upper_Limb::Hand/Wrist/Forearm DopeRanatomy::System::Musculoskeletal::Muscular::Upper_Limb::Hand/Wrist/Forearm Dufte::Obere_Extremitäten::Unterarm_Hand::Muskulatur"
4Glko+^nu_,1349477488466,"Intrinsische Muskeln der Hand&nbsp;3","<img src=""MSA-Intrinsic_Muscles_of_Hand_347.jpg"">","<b>Clinical:</b> This muscle is tested clinically by asking the patient to touch the base of their little finger with their thumb while providing resistance to the palmar side of the base of the thumb.<br>","<b>Comment:</b>  This muscle is 1 of the 4 muscles that make up the thenar muscles at the base of the thumb.  Except for the adductor pollicis muscle, the thenar muscles are innervated by the recurrent branch of the median nerve.<br>","<b>Ursprung (proximal):&nbsp;</b>Os trapezium <br>","<b>Ansatz (distal):&nbsp;</b>Os metacarpi I&nbsp;(radial) <br>",,"<b>Innervation:</b>  N. medianus&nbsp;<br>",<b>Funktion:</b>&nbsp;<div>Daumensattelgelenk:&nbsp;Opposition<br></div>,"Atlas Plate 453","<div>Musculus&nbsp;opponens pollicis</div>",,,,,,,,,,,,,,,,,,,,"DopeRanatomy::#DOPE DopeRanatomy::Region::Upper_Limb::Hand/Wrist/Forearm DopeRanatomy::System::Musculoskeletal::Muscular::Upper_Limb::Hand/Wrist/Forearm Dufte::Obere_Extremitäten::Unterarm_Hand::Muskulatur"
RE`~DyzjBF,1349477488467,"Intrinsische Muskeln der Hand&nbsp;4","<img src=""MSA-Intrinsic_Muscles_of_Hand_448.jpg"">","<div><b>Klinik</b></div><div>Bei einem Engpass in der&nbsp;<b>Guyon-Loge</b>&nbsp;ist überwiegend der motorische Anteil des&nbsp;<b>N. ulnaris</b>&nbsp;betroffen. Als Folge kommt es neben einer&nbsp;Krallenhand&nbsp;zu einer&nbsp;<b>Atrophie</b>&nbsp;des&nbsp;<b>Hypothenars</b>&nbsp;. Der Ausfall des M. adductor pollicis erschwert das Festklemmen eines Blatt Papiers zwischen Daumen und radialer Kante des Zeigefingers (<b>Fromment-Zeichen</b>)&nbsp;außerdem ist das&nbsp;<b>Spreizen&nbsp;</b>und<b>&nbsp;Schließen</b>&nbsp;der&nbsp;Finger&nbsp;beeinträchtigt.&nbsp;</div><div><img src=""cs_11352140.jpg""><br></div><div>Quelle: Duale Reihe Anatomie</div><div><br></div><div>Die&nbsp;<b>Ulnarislähmung</b>&nbsp;(<i>Ulnarisparese</i>) ist eine Schädigung des&nbsp;Nervus ulnaris. Sie ist beim Menschen die häufigste periphere Nervenschädigung. Sie führt zur sogenannten „<b>Krallenhand</b>“ oder „<b>Klauenhand</b>“, manchmal auch „<b>Radfahrerlähmung</b>“ genannt.<br></div><div><br></div><div><div>Das Lähmungsbild wird durch den Ausfall der motorischen Funktionen der vom Nervus ulnaris versorgten Muskeln bestimmt. Es entsteht durch die fehlende&nbsp;Innervation&nbsp;der kurzen Fingermuskeln. Hierbei ist der Daumen abgespreizt (Ausfall&nbsp;<b>Musculus adductor pollicis</b>) und bei Beugung der Finger ist das Fingergrundgelenk gestreckt (Ausfall&nbsp;<b>Musculi lumbricales</b>&nbsp;und&nbsp;<b>Musculi interossei</b>, da die Wirkung der langen Fingerbeuger nur noch zur Beugung der Fingerendgelenke ausreicht).</div><div><br></div><div>Schädigungen des sensiblen Nervenanteils machen sich bemerkbar durch <b>Taubheitsgefühl </b>im Kleinfinger, an der nach außen zeigenden Seite des Ringfingers und am Kleinfingerballen.</div><div><br></div><div>Die häufigste Lokalisation einer Schädigung des Nervus ulnaris ist die Schädigung des Nervs im Bereich des Ellenbogens (<i>Sulcus ulnaris)</i>.</div></div>
<p><a href=""https://commons.wikimedia.org/wiki/File:Ulnarisparese.jpg#/media/Datei:Ulnarisparese.jpg""><img alt=""Ulnarisparese.jpg"" src=""https://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/Ulnarisparese.jpg/1200px-Ulnarisparese.jpg""></a><br>Von Dr. Jochen Lengerke - Praxis Dr. Lengerke, <a href=""https://creativecommons.org/licenses/by-sa/3.0/de/deed.en"" title=""Creative Commons Attribution-Share Alike 3.0 de"">CC BY-SA 3.0 de</a>, <a href=""https://commons.wikimedia.org/w/index.php?curid=40074671"">Link</a></p>","<b>Comment:</b>  This muscle is 1 of the 4 muscles that make up the muscles at the base of the thumb.  It is the only one of these muscles innervated by the ulnar nerve.<br>","<b>Ursprung (proximal):</b>&nbsp;<div><ul><li>Caput obliquum<br></li><ul><li>Os capitatum</li><li>Basis ossis metacarpi II–III</li></ul><li>Caput transversum<br></li><ul><li>Os metacarpi III&nbsp;(palmare&nbsp;Fläche)&nbsp;</li></ul></ul></div>","<b>Ansatz (distal):</b>&nbsp;Phalanx&nbsp;proximalis I&nbsp;(über ulnares&nbsp;Sesambein)<br>",,"<b>Innervation:</b>  N. ulnaris&nbsp;<br><div><br></div><div>s.&nbsp;<b>Fromment-Zeichen (Klinik-Feld) bzw. Ulnarisläsion</b></div>",<b>Funktion:</b>&nbsp;<div><ul><li>Daumensattelgelenk<br></li><ul><li>Adduktion</li><li>Opposition</li></ul><li>Daumengrundgelenk<br></li><ul><li>Flexion&nbsp;</li></ul></ul></div>,"Atlas Plate 453","<div>Musculus&nbsp;adductor pollicis</div>",,,,,,,,,,,,,,,,,,,,"DopeRanatomy::#DOPE DopeRanatomy::Region::Upper_Limb::Hand/Wrist/Forearm DopeRanatomy::System::Musculoskeletal::Muscular::Upper_Limb::Hand/Wrist/Forearm Dufte::Obere_Extremitäten::Unterarm_Hand::Muskulatur"
",$;{%TZX4`",1349477488468,"Intrinsische Muskeln der Hand&nbsp;5","<img src=""MSA-Intrinsic_Muscles_of_Hand_551.jpg"">","<b>Clinical:</b> To clinically test opposition, have the patient touch the tips of their thumb and little finger together and then, with a finger on the patient's thenar and hypothenar eminence, try to pull the opposed fingers apart to test the strength of the opponens muscles.<br>","<b>Comment:</b>  This muscle is 1 of the 3 muscles that make up the hypothenar muscles, which constitute the intrinsic muscles of the little finger.  All of these muscles are innervated by deep branches of the ulnar nerve and supplied by deep branches of the ulnar artery.<br><div><br></div><div><img src=""46T8TpyjR4qa7kvi2Yex-g.png""><br></div>","<b>Ursprung (proximal):</b>  Hamulus ossis hamati <br>","<b>Ansatz (distal):</b>  Os metacarpale V <br>",,"<b>Innervation:&nbsp;</b>N. ulnaris&nbsp;(Perikaryen&nbsp;somit v.a. in Segment C8/Th1)<br>","<b>Funktion:</b>&nbsp;<div>Carpometakarpalgelenk Finger V:&nbsp;Opposition&nbsp;<br></div>","Atlas Plate 453","<div>Musculus&nbsp;opponens digiti minimi</div>",,,,,,,,,,,,,,,,,,,,"DopeRanatomy::#DOPE DopeRanatomy::Region::Upper_Limb::Hand/Wrist/Forearm DopeRanatomy::System::Musculoskeletal::Muscular::Upper_Limb::Hand/Wrist/Forearm Dufte::Obere_Extremitäten::Unterarm_Hand::Muskulatur"
VG-G$Y~Q)y,1349477488469,"Intrinsische Muskeln der Hand 6","<img src=""MSA-Intrinsic_Muscles_of_Hand_653.jpg"">","<b>Clinical:</b> The dorsal interossei are clinically tested by holding the adducted extended fingers together and asking the patient to spread their fingers against this resistance. <br>","<b>Comment:</b>  The 1st dorsal interosseous is the largest.  It fills the space between the metacarpal bones of the thumb and index finger and is sometimes referred to as the pinch muscle.  The 1st dorsal interosseous also is used with the adductor pollicis muscle during a precision grip.  <br><br>Dorsal interosseous muscles are not associated with the thumb or little finger; these digits possess their own abductors.<br>","<b>Ursprung (proximal):</b>  Ossa metacarpi I–V&nbsp; <br>","<b>Ansatz (distal):</b>&nbsp;Dorsalaponeurosen&nbsp;der Finger II-IV&nbsp;<div></div>Phalanx&nbsp;proximalis II-IV<br>",,"<b>Innervation:&nbsp;</b>N. ulnaris<br>","<b>Funktion:</b> &nbsp;<div><ul><li>Grundgelenk&nbsp;(Finger II–IV)<br></li><ul><li>Flexion</li></ul><li>Interphalangealgelenke&nbsp;(Finger II–IV)<br></li><ul><li>Extension</li><li>Abduktion&nbsp;&nbsp;</li></ul></ul></div><div><br></div>","Atlas Plate 453","<div>Musculi interossei dorsales</div>",,,,,,,,,,,,,,,,,,,,"DopeRanatomy::#DOPE DopeRanatomy::Region::Upper_Limb::Hand/Wrist/Forearm DopeRanatomy::System::Musculoskeletal::Muscular::Upper_Limb::Hand/Wrist/Forearm Dufte::Obere_Extremitäten::Unterarm_Hand::Muskulatur"
PF#~GXEb8D,1349477488470,"Intrinsische Muskeln der Hand&nbsp;7","<img src=""MSA-Intrinsic_Muscles_of_Hand_754.jpg"">","<b>Clinical:</b> The palmar interossei are tested clinically by placing a sheet of paper between two adjacent fingers and, with the patient holding the paper between their adducted fingers, the physician tries to pull the paper away. With weakened adduction, the patient will have difficulty holding the sheet of paper between their fingers.<br>","<b>Comment:</b>  The 3 unipennate palmar interossei are smaller than the 4 dorsal interossei.<br>","<b>Ursprung (proximal):</b>&nbsp;<div>I: Os metacarpale II&nbsp;(ulnar)</div><div>II: Os metacarpale IV&nbsp;(radial)</div><div>III: Os metacarpale V&nbsp;(radial) <br></div>","<b>Ansatz (distal):</b>&nbsp;Dorsalaponeurosen&nbsp;und&nbsp;Phalanx&nbsp;proximalis der Finger II, IV, V <br>",,"<b>Innervation:</b>  N. ulnaris <br>","<b>Funktion:</b><div><ul><li>Grundgelenk&nbsp;(Finger II, IV und V)</li><ul><li>Flexion</li></ul><li>Interphalangealgelenke&nbsp;(Finger II, IV und V)<br></li><ul><li>Extension</li><li>Adduktion&nbsp;</li></ul></ul></div>","Atlas Plate 453","<div>Musculi interossei palmares</div>",,,,,,,,,,,,,,,,,,,,"DopeRanatomy::#DOPE DopeRanatomy::Region::Upper_Limb::Hand/Wrist/Forearm DopeRanatomy::System::Musculoskeletal::Muscular::Upper_Limb::Hand/Wrist/Forearm Dufte::Obere_Extremitäten::Unterarm_Hand::Muskulatur"
+{+&N!`Iw),1349477488471,"Kehlkopfmuskeln 1","<img src=""MSA-Intrinsic_Muscles_of_Larynx49.jpg"">","Klinik:&nbsp;<br><div><b>Rekurrensparese</b><br>Eine&nbsp;Schädigung des&nbsp;N. laryngeus recurrens&nbsp;kann zur sog.&nbsp;Rekurrensparese&nbsp;führen (wovon der durch den&nbsp;N. laryngeus superior&nbsp;innervierte&nbsp;M. cricothyroideus&nbsp;natürlich nicht betroffen ist). Bei einer&nbsp;<b>einseitigen&nbsp;Rekurrensparese&nbsp;</b>sind alle inneren&nbsp;Kehlkopfmuskeln&nbsp;dieser Seite ausgefallen, sowohl der Stimmritzenöffner (M. cricoarytaenoideus posterior) als auch die Schließer der&nbsp;Stimmritze&nbsp;(M. cricoarytaenoideus lateralis,&nbsp;M. arytaenoideus obliquus&nbsp;und transversus). Dadurch steht das ipsilaterale&nbsp;Stimmband&nbsp;auf der betroffenen Seite still, meist in Paramedian- bzw. Medianstellung.&nbsp;Durch den unvollständigen Verschluss der&nbsp;Stimmritze&nbsp;in&nbsp;Phonationsstellung&nbsp;kommt es zu Heiserkeit, das kontralaterale bewegliche&nbsp;Stimmband&nbsp;ermöglicht jedoch eine unbeeinträchtigte&nbsp;Atmung.&nbsp;Hingegen kann eine&nbsp;<b>beidseitige&nbsp;Rekurrensparese&nbsp;</b>– je nach Stellung der&nbsp;Stimmbänder&nbsp;– zu inspiratorischem&nbsp;Stridor&nbsp;und starker&nbsp;Atemnot&nbsp;führen, da nun beidseits der einzige Stimmritzenöffner (der&nbsp;M. cricoarytaenoideus posterior, auch ""Postikus"" genannt) ausgefallen ist.&nbsp;<br></div>","<b>Comment:</b>  This muscle is innervated by the small, external branch of the superior laryngeal nerve of the vagus.  Most of the superior laryngeal nerve continues as an internal branch that pierces the thyrohyoid membrane to provide sensory innervation above the vocal folds.  <br><br>This muscle, similar to the other muscles of the larynx, is derived embryologically from the 4th through 6th pharyngeal (branchial) arches.  All of these laryngeal muscles are innervated by the vagus nerve.<br>","<b>Ursprung:</b>  Ventrolaterale Fläche des&nbsp;Ringknorpels <br><br>","<b>Ansatz:</b>&nbsp;Unterrand und Cornu inferior des&nbsp;Schildknorpels<br>",,"<b>Innervation:</b>  N. laryngeus superior (aus HN X)<br><br>","<b>Funktion:</b>  Schild- und&nbsp;Ringknorpel&nbsp;werden angenähert <br>","Atlas Plate 78","<div>M. cricothyroideus</div>",,,,,,,,,,,,,,,,,,,,"DopeRanatomy::#DOPE DopeRanatomy::Region::Head&Neck::Neck DopeRanatomy::System::Musculoskeletal::Muscular::Head&Neck::Neck DopeRanatomy::System::Otorhinolaryngological::Larynx Dufte::Kopf_und_Hals::Halsorgane::Kehlkopf"
V$()z`<V%?,1349477488472,"Kehlkopfmuskeln 2","<img src=""MSA-Intrinsic_Muscles_of_Larynx53.jpg"">","<b>Klinik:&nbsp;</b><br><div><b>Rekurrensparese</b><br>Eine&nbsp;Schädigung des&nbsp;N. laryngeus recurrens&nbsp;kann zur sog.&nbsp;Rekurrensparese&nbsp;führen (wovon der durch den&nbsp;N. laryngeus superior&nbsp;innervierte&nbsp;M. cricothyroideus&nbsp;natürlich nicht betroffen ist). Bei einer&nbsp;<b>einseitigen&nbsp;Rekurrensparese&nbsp;</b>sind alle inneren&nbsp;Kehlkopfmuskeln&nbsp;dieser Seite ausgefallen, sowohl der Stimmritzenöffner (M. cricoarytaenoideus posterior) als auch die Schließer der&nbsp;Stimmritze&nbsp;(M. cricoarytaenoideus lateralis,&nbsp;M. arytaenoideus obliquus&nbsp;und transversus). Dadurch steht das ipsilaterale&nbsp;Stimmband&nbsp;auf der betroffenen Seite still, meist in Paramedian- bzw. Medianstellung.&nbsp;Durch den unvollständigen Verschluss der&nbsp;Stimmritze&nbsp;in&nbsp;Phonationsstellung&nbsp;kommt es zu Heiserkeit, das kontralaterale bewegliche&nbsp;Stimmband&nbsp;ermöglicht jedoch eine unbeeinträchtigte&nbsp;Atmung.&nbsp;Hingegen kann eine&nbsp;<b>beidseitige&nbsp;Rekurrensparese&nbsp;</b>– je nach Stellung der&nbsp;Stimmbänder&nbsp;– zu inspiratorischem&nbsp;Stridor&nbsp;und starker&nbsp;Atemnot&nbsp;führen, da nun beidseits der einzige Stimmritzenöffner (der&nbsp;M. cricoarytaenoideus posterior, auch ""Postikus"" genannt) ausgefallen ist.&nbsp;</div>","<b>Comment:</b>  Der&nbsp;M. cricothyroideus&nbsp;ist der einzige äußere(!)&nbsp;Kehlkopfmuskel&nbsp;und wird als einziger&nbsp;Muskel&nbsp;vom R. externus des&nbsp;N. laryngeus superior&nbsp;und nicht vom N. laryngeus inferior innerviert! <br><img src=""paste-2f25aa1eb558ad58217bdc041cc22ddbda9fee0e.jpg""><br>","<b>Ursprung:</b>  Hinterfläche des&nbsp;Ringknorpels <br><br>","<b>Ansatz:</b>  Proc.&nbsp;muscularis&nbsp;des&nbsp;Stellknorpels (Cart. arytaenoideus)<br><br>",,"<b>Innervation:</b>  N. laryngeus inferior (Endast des&nbsp;N. laryngeus recurrens) <br><br>","<b>Funktion:<br></b>Dreht den&nbsp;Stellknorpel&nbsp;nach außen und zur Seite →&nbsp;Öffnet die gesamte&nbsp;Stimmritze&nbsp;<br>","Atlas Plate 78","<div>""Postikus""</div><div>Musculus cricoarytaenoideus posterior</div>",,,,,,,,,,,,,,,,,,,,"DopeRanatomy::#DOPE DopeRanatomy::Region::Head&Neck::Neck DopeRanatomy::System::Musculoskeletal::Muscular::Head&Neck::Neck DopeRanatomy::System::Otorhinolaryngological::Larynx Dufte::Kopf_und_Hals::Halsorgane::Kehlkopf"
/|`c?KH$g2,1349477488473,"Knie: Keuzbänder und Seitenbänder","<img src=""MSA-Knee-Cruciate_and_Collateral_Ligaments6.jpg"">","<b>Klinik:&nbsp;</b><b>Kreuzbandriss&nbsp;</b><div><div></div><br>Ist eines der&nbsp;Kreuzbänder&nbsp;gerissen, so wird das&nbsp;Kniegelenk&nbsp;instabil. In der klinischen Untersuchung testet man dies mithilfe des vorderen bzw. hinteren&nbsp;Schubladentests: Bei einem Kreuzbandriss lässt sich der&nbsp;Unterschenkel&nbsp;bei gebeugtem Bein gegen den Oberschenkel verschieben. Eine Verschieblichkeit nach vorne spricht dabei für einen Riss des&nbsp;vorderen Kreuzbandes, eine Verschieblichkeit nach hinten für eine Läsion des&nbsp;hinteren Kreuzbandes.<b><br></b></div><div><br></div><div><b>Unhappy Triad</b><br>Bei Skiunfällen kommt es häufig zu&nbsp;Bandverletzungen des Knies. Besonders ungünstig ist dabei die sog. „Unhappy Triad“, bei der das&nbsp;vordere Kreuzband, das&nbsp;mediale Seitenband&nbsp;und der mediale&nbsp;Innenmeniskus&nbsp;beschädigt sind. Dies passiert bei einer forcierten Beugung und&nbsp;Außenrotation&nbsp;im Knie, bei der sich das Knie zusätzlich in X-Bein-Stellung befindet (sog. Valgus-Stress).<br></div>","<b>Kommentar:</b>&nbsp;Die Stabilität des Kniegelenks wird durch die Kapsel, die umgebende Muskulatur sowie einen starken Bandapparat gewährleistet. Man unterscheidet Binnen- und Außenbänder.&nbsp;<div><br><b>Seitenbänder</b>: Sind bei Streckung des Beins gespannt (was ein Aufklappen des&nbsp;Kniegelenks&nbsp;verhindert) und bei Beugung entspannt (was eine Drehung im Knie zulässt)</div><div><br></div><div>Die&nbsp;<b>Kreuzbänder&nbsp;</b>stabilisieren das&nbsp;Kniegelenk&nbsp;während des gesamten Bewegungsablaufs, da ihre Anteile in jeder Lage gespannt sind. Bei der&nbsp;Innenrotation&nbsp;wickeln sie sich „umeinander“, bei der&nbsp;Außenrotation&nbsp;werden sie „entwickelt“.<br><br><b>Merke</b>: Meniscus medialis<div>Der&nbsp;<strong>Innenmeniskus</strong>&nbsp;ist im Vergleich zum Außenmeniskus&nbsp;<strong>stärker fixiert</strong>&nbsp;(mediales Kollateralband) und dadurch&nbsp;<strong>weniger beweglich</strong>&nbsp;und&nbsp;<strong>verletzungsanfälliger</strong>.</div></div><div><br></div><div><img src=""big_5e601eacee09a.jpg""><br></div>",,,,,,"Atlas Plate 497","<div>Ligamentum cruciatum anterius</div>","<div>Sehne des M. popliteus</div>","<div>Ligamentum collaterale fibulare</div>","<div>Meniscus lateralis</div>","<div>Ligamentum transversum genus</div>","<div>Ligamentum collaterale tibiale</div>","<div>Meniscus lateralis</div>","<div>Ligamentum cruciatum anterius</div>","<div>Ligamentum cruciatum posterius</div>","<div>Ligamentum cruciatum posterius</div>",,,,,,,,,,,"DopeRanatomy::#DOPE DopeRanatomy::Region::Lower_Limb::Knee DopeRanatomy::System::Musculoskeletal::Skeletal::Lower_Limb::Knee Dufte::Untere_Extremitäten::Knie"
",a:r+fb,A#",1349477488474,"Knie: Gelenkfläche (Ansicht von Unten)","<img src=""MSA-Knee-Interior_(Inferior_View)8.jpg"">","<b>Clinical:</b> Rupture of the anterior cruciate ligament is a common athletic injury usually associated with a sharp turn, when the knee is twisted while the foot is firmly on the ground. The anterior drawer test assesses this injury. With an anterior cruciate ligament injury, the tibia moves anteriorly >5 mm, indicating a positive result. The anterior cruciate ligament normally limits knee hyperextension.<br>","<b>Comment:</b>  The knee is surrounded by a thin, fibrous capsule that is stabilized by the surrounding muscle attachments and intracapsular and extracapsular ligaments.  Intracapsular ligaments include the anterior and posterior cruciate ligaments, medial and lateral menisci, and transverse ligament.  Extracapsular ligaments include the medial and lateral collateral ligaments, patellar ligament, and arcuate and oblique popliteal ligaments.  <br><br>Of the 2 cruciate ligaments, the anterior is the weaker and is taut when the knee is fully extended, preventing hyperextension.  The posterior cruciate tightens during flexion of the knee, preventing excessive anterior displacement of the femur on the tibia or excessive posterior displacement of the tibia on the femur.  <br><br>Rupture of the anterior cruciate ligament is a common athletic injury usually associated with a sharp turn, when the knee is twisted while the foot is firmly on the ground.  The anterior drawer test assesses this injury.  With an anterior cruciate ligament injury, the tibia moves anteriorly ampersandgt;5mm, indicating a positive result.  The anterior cruciate ligament normally limits knee hyperextension.<br>",,,,,,"Atlas Plate 496","<div>Sehne des M. popliteus</div>","<div>Ligamentum collaterale fibulare</div>","<div>Ligamentum cruciatum anterius</div>","<div>Ligamentum arcuatum popliteum</div>","<div>Ligamentum collaterale tibiale (superficial et profunda)</div>","<div>Bursum synovium suprapatellae</div>","<div>Ligamentum patellae</div>",,,,,,,,,,,,,,"DopeRanatomy::#DOPE DopeRanatomy::Region::Lower_Limb::Knee DopeRanatomy::System::Musculoskeletal::Skeletal::Lower_Limb::Knee Dufte::Untere_Extremitäten::Knie"
6R/IbeT)s:,1349477488475,"Knie: Gelenkfläche (Ansicht von Oben)","<img src=""MSA-Knee-Interior_(Superior_View)7.jpg"">","<b>Klinik: Kniegelenkserguss</b><div>Ein typisches klinisches Zeichen für einen Kniegelenkserguss ist die sog.&nbsp;<strong>„tanzende Patella“</strong>. Dieses Phänomen lässt sich bei der körperlichen Untersuchung am gestreckten Kniegelenk feststellen: Dabei wird der Recessus suprapatellaris mit der einen Hand von kranial her ausgestrichen und mit der anderen Hand auf die Patella in Richtung Femur gedrückt. Bei einem Erguss lässt sich ein federnder Widerstand spüren bis die Patella in ihrem Gleitlager anschlägt (Patella „tanzt“ auf der Flüssigkeit).</div>","<b>Kommentar:</b>  Die Stabilität des Kniegelenks wird durch die Kapsel, die umgebende Muskulatur sowie einen starken Bandapparat gewährleistet. Man unterscheidet Binnen- und Außenbänder.&nbsp;<div><br><b>Seitenbänder</b>: Sind bei Streckung des Beins gespannt (was ein Aufklappen des&nbsp;Kniegelenks&nbsp;verhindert) und bei Beugung entspannt (was eine Drehung im Knie zulässt)</div><div><br></div><div>Die&nbsp;<b>Kreuzbänder&nbsp;</b>stabilisieren das&nbsp;Kniegelenk&nbsp;während des gesamten Bewegungsablaufs, da ihre Anteile in jeder Lage gespannt sind. Bei der&nbsp;Innenrotation&nbsp;wickeln sie sich „umeinander“, bei der&nbsp;Außenrotation&nbsp;werden sie „entwickelt“.<br><br><b>Merke</b>: Meniscus medialis<div>Der&nbsp;<strong>Innenmeniskus</strong>&nbsp;ist im Vergleich zum Außenmeniskus&nbsp;<strong>stärker fixiert</strong>&nbsp;(mediales Kollateralband) und dadurch&nbsp;<strong>weniger beweglich</strong>&nbsp;und&nbsp;<strong>verletzungsanfälliger</strong>.</div></div>",,,,,,"Atlas Plate  496","<div>Meniscus lateralis</div>","<div>Tractus collaterale tibiale</div>","<div>Ligamentum patellae</div>","<div>Ligamentum cruciatum anterius</div>","<div>Membranus synovius</div>","<div>Meniscus medialis</div>","Ligamentum popliteum obliquum",,,,,,,,,,,,,,"DopeRanatomy::#DOPE DopeRanatomy::Region::Lower_Limb::Knee DopeRanatomy::System::Musculoskeletal::Skeletal::Lower_Limb::Knee Dufte::Untere_Extremitäten::Knie"
